Package or Category,License Concluded,Project,Scope,Status,Comments,Date Published,Last updated: 2026-02-04
In-kernel eBPF programs,"GPL-2.0-only, GPL-2.0-or-later",All CNCF Projects,in-kernel eBPF programs only,approved,"Blanket exception: GPL-2.0 licensed code is permitted for in-kernel eBPF programs only, as this is required by the Linux kernel BPF subsystem.",2023-08-31,
github.com/docker/go-metrics,CC-BY-SA 4.0,,"runtime dependency, statically linked",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-08-31,2023-08-31,
github.com/hashicorp/go-memdb,MPL-2.0,Cilium,"runtime dependency, dynamically linked",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-08-31,2023-08-31,
github.com/shoenig/go-m1cpu,MPL-2.0,,build dependency,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-08-31,2023-08-31,
hashicorp/packer-plugin-sdk,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-08-31,2023-08-31,
github.com/hashicorp/consul/api,MPL-2.0,Cilium,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/hashicorp/go-hclog,MPL-2.0,Cilium,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/hashicorp/go-immutable-radix,MPL-2.0,Cilium,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/hashicorp/go-plugin,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/hashicorp/go-rootcerts,MPL-2.0,Cilium,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/hashicorp/go-secure-stdlib,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/hashicorp/go-sockaddr,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/hashicorp/go-uuid,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/hashicorp/serf,MPL-2.0,Cilium,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/hashicorp/vault,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/veraison/go-cose,MPL-2.0,Notary,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/consul/api,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/go-hclog,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/go-immutable-radix,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/go-plugin,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/go-rootcerts,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/go-secure-stdlib,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/go-sockaddr,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/go-uuid,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/go-version,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/raft,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/serf,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/vault,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
hashicorp/yamux,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
veraison/go-cose,MPL-2.0,Notary,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2023-06-27,2023-06-27,
github.com/eclipse/paho.mqtt.golang,EPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
github.com/hashicorp/go-version,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
github.com/hashicorp/raft,MPL-2.0,Dapr,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
github.com/hashicorp/raft-boltdb,MPL-2.0,Dapr,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
github.com/Microsoft/tslib,0BSD,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
go-version,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
paho.mqtt.golang,EPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
raft,MPL-2.0,Dapr,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
raft-boltdb,MPL-2.0,Dapr,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
tslib,0BSD,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
webpki-roots,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2022-04-12,2022-04-12,
github.com/hashicorp/go-retryablehttp,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2021-07-19,2021-07-19,
go-retryablehttp,MPL-2.0,,"build-time dependency, unmodified",approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2021-07-19,2021-07-19,
Chart.js,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
cloud.google.com/go,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
code.cloudfoundry.org/clock,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
colors,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
defusedxml,Python-2.0,,build-time dependency,allowlisted,allowlisted,2019-11-01,
ejs,(Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/abbot/go-http-auth,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/aclements/go-moremath,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/andygrunwald/go-gerrit,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/aokoli/goutils,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/appc/spec,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/armon/circbuf,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/armon/go-proxyproto,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/armon/go-radix,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/asaskevich/govalidator,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/aws/aws-k8s-tester,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/aws/aws-sdk-go,((MIT OR GPL-3.0) AND BSD-3-Clause AND Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/Azure/azure-sdk-for-go,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/Azure/azure-storage-blob-go,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/Azure/go-ansiterm,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/Azure/go-autorest,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/bazelbuild/bazel-gazelle,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/bazelbuild/buildtools,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/beorn7/perks,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/blang/semver,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/bluebreezecf/opentsdb-goclient,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/boltdb/bolt,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/bwmarrin/snowflake,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/chai2010/gettext-go,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/cloudflare/cfssl,(BSD-2-Clause AND BSD-3-Clause AND ISC),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/cloudfoundry-incubator/candiedyaml,(Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/clusterhq/flocker-go,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/cockroachdb/cmux,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/codedellemc/goscaleio,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/container-storage-interface/spec,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/containerd/console,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/containerd/containerd,(CC-BY-4.0 AND Apache-2.0),,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/containernetworking/cni,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/containernetworking/plugins,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/coredns/coredns,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/coreos/bbolt,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/coreos/etcd,(BSD-3-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/coreos/go-etcd,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/coreos/go-oidc,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/coreos/go-semver,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/coreos/go-systemd,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/coreos/pkg,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/coreos/rkt,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/cpuguy83/go-md2man,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/cyphar/filepath-securejoin,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/daaku/go.zipexe,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/davecgh/go-spew,ISC,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/daviddengcn/go-colortext,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/dchest/safefile,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/deckarep/golang-set,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/denverdino/aliyungo,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/dgrijalva/jwt-go,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/digitalocean/godo,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/djherbis/atime,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/docker/cli,(Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/docker/distribution,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/docker/docker,(Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/docker/engine-api,(BSD-3-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/docker/go-connections,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/docker/libcompose,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/docker/libnetwork,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/docker/libtrust,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/docker/machine,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/dustin/go-humanize,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/eapache/channels,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/eapache/go-resiliency,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/eapache/go-xerial-snappy,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/eapache/queue,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/elazarl/go-bindata-assetfs,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/elazarl/goproxy,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/emicklei/go-restful,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/emicklei/go-restful-swagger12,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/emirpasic/gods,(BSD-2-Clause AND ISC),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/euank/go-kmsg-parser,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/evanphx/json-patch,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/exponent-io/jsonpath,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/fatih/camelcase,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/fatih/structs,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/flynn/go-shlex,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/fsnotify/fsnotify,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/fsouza/fake-gcs-server,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/fsouza/go-dockerclient,(BSD-2-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/fullsailor/pkcs7,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/GeertJohan/go.rice,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/ghodss/yaml,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/globalsign/mgo,(BSD-2-Clause AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/go-ini/ini,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/go-openapi/analysis,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/go-openapi/errors,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/go-openapi/jsonpointer,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/go-openapi/jsonreference,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/go-openapi/loads,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/go-openapi/runtime,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/go-openapi/spec,(CC-BY-4.0 AND Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/go-openapi/strfmt,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/go-openapi/swag,(Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/go-openapi/validate,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/go-ozzo/ozzo-validation,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/go-yaml/yaml,(Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/gobuffalo/envy,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/godbus/dbus,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/gogo/protobuf,(BSD-2-Clause AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/golang/dep,(LicenseRef-Google-Patents-Notice-Golang AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/golang/glog,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/golang/groupcache,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/golang/lint,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/golang/mock,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/golang/protobuf,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/golang/snappy,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/google/btree,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/google/cadvisor,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/google/certificate-transparency-go,(BSD-3-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/google/go-containerregistry,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/google/go-querystring,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/google/go-tpm,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/google/gofuzz,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/google/uuid,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/googleapis/gax-go,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/googleapis/gnostic,(BSD-3-Clause AND Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/GoogleCloudPlatform/gke-managed-certs,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/gophercloud/gophercloud,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/gorilla/context,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/gorilla/mux,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/gorilla/securecookie,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/gorilla/sessions,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/gorilla/websocket,(BSD-2-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/gregjones/httpcache,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/grpc-ecosystem/go-grpc-middleware,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/grpc-ecosystem/go-grpc-prometheus,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/grpc-ecosystem/grpc-gateway,(BSD-3-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/hawkular/hawkular-client-go,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/heketi/heketi REST API,(Apache-2.0 OR LGPL-3.0-or-later),,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/hpcloud/tail,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/huandu/xstrings,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/imdario/mergo,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/inconshreveable/mousetrap,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/influxdata/influxdb,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/jimmidyson/go-download,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/jinzhu/gorm,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/jinzhu/inflection,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/jmespath/go-jmespath,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/jmhodges/clock,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/jmoiron/sqlx,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/joho/godotenv,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/jonboulle/clockwork,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/jpillora/backoff,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/json-iterator/go,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/kardianos/osext,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
