Lifecycle,project_id,Maintainer Name,Company,GitHub Name,maintainers.yaml,Mailing List
,,Deepesh Pathak,Isovalent,fristonio,,
,,,,dlapcevic,,
,,Dylan Reimerink,Individual - No Account,dylandreimerink,,
,,Fabio Falzoi,Isovalent,pippolo84,,
,,Glib Smaga,Isovalent Inc.,glibsm,,
,,Hadrien Patte,"Datadog, Inc",HadrienPatte,,
,,Harsimran Pabla,Individual - No Account,harsimran-pabla,,
,,Hemanth Malla,"CoreWeave, Inc.",hemanthmalla,,
,,Jarno Rajahalme,Isovalent Inc.,jrajahalme,,
,,Joe Stringer,Isovalent,joestringer,,
,,John Fastabend,Individual - No Account,jrfastab,,
,,Jordan Rife,Individual - No Account,jrife,,
,,Julian Wiedmann,Isovalent,julianwiedmann,,
,,Jussi Mäki,Individual - No Account,joamaki,,
,,Kornilios Kourtis,Isovalent Inc.,kkourt,,
,,Laurent Bernaille,"Datadog, Inc",lbernail,,
,,Liz Rice,Isovalent Inc.,lizrice,,
,,Louis DeLosSantos,Isovalent Inc.,ldelossa,,
,,Maciej Kwiek,Isovalent Inc.,nebril,,
,,Mahé Tardy,Isovalent Inc.,mtardy,,
,,Marcel Zięba,Google LLC,marseel,,
,,Marco Hofstetter,Isovalent Inc.,mhofstetter,,
,,Marco Iorio,Isovalent,giorio94,,
,,Martynas Pumputis,Isovalent Inc.,brb,,
,,Michi Mutsuzaki,Individual - No Account,michi-covalent,,
,,Nathan Sweet,Individual - No Account,nathanjsweet,,
,,,,nbusseneau,,
,,Nick Young,Isovalent,youngnick,,
,,Nirmoy Das,Intel Corporation,nirmoy,,
,,Paul Chaignon,Isovalent Inc.,pchaigno,,
,,Quentin Monnet,Hedgehog,qmonnet,,
,,,,rastislavs,,
,,Robin Hahling,Individual - No Account,rolinh,,
,,Sebastian Wicki,Isovalent,gandro,,
,,Simone Magnani,Individual - No Account,smagnani96,,
,,Tam Mach,Individual - No Account,sayboras,,
,,Timo Beckers,Cilium,ti-mo,,
,,Tobias Klauser,Isovalent Inc.,tklauser,,
,,Tom Hadlaw,Individual - No Account,tommyp1ckles,,
,,Vlad Ungureanu,Palantir Technologies Inc.,ungureanuvladvictor,,
,,Yutaro Hayakawa,Individual - No Account,YutaroHayakawa,,
Graduated,cloudevents,Doug Davis,Individual - No Account,duglin,https://github.com/cloudevents/.project/blob/main/maintainers.yaml,cncf-cloudevents-maintainers@lists.cncf.io
,,Klaus Deissner,SAP SE,deissnerk,,
,,Mark Peek,"Cisco Systems, Inc.",markpeek,,
Graduated,containerd,[[unknown]] [[unknown]],Individual - No Account,kiashok,https://github.com/containerd/.project/blob/main/maintainers.yaml,cncf-containerd-maintainers@lists.cncf.io
,,Akihiro Suda,"NTT, Inc.",AkihiroSuda,,
,,Davanum Srinivas,NVIDIA Corporation,dims,,
,,Derek McGowan,Docker,dmcgowan,,
,,Kazuyoshi Kato,Individual - No Account,kzys,,
,,Maksym Pavlenko,Netflix,mxpv,,
,,Michael Brown,International Business Machines Corporation,mikebrow,,
,,Phil Estes,"Amazon Web Services, Inc.",estesp,,
,,Samuel Karp,Google LLC,samuelkarp,,
,,Wei Fu,"Microsoft (China) Co., Ltd.",fuweid,,
Graduated,coredns,Ben Kochie,Individual - No Account,superq,https://github.com/coredns/.project/blob/main/maintainers.yaml,cncf-coredns-maintainers@lists.cncf.io
,,Brad Beam,"GramLabs, Inc. (d/b/a StormForge)",bradbeam,,
,,,,chrisohaver,,
,,Dmitry Ilyevsky,Apoxy,dilyevsky,,
,,,,isolus,,
,,,,jameshartig,,
,,John Belamaric,Google LLC,johnbelamaric,,
,,Michael Grosser,Individual - No Account,stp-ip,,
,,Miek Gieben,Google LLC,miekg,,
,,Ondřej Benkovský,,Tantalor93,,
,,Pat Moroney,Walmart Global Tech,pmoroney,,
,,Paul Greenberg,"Amazon Web Services, Inc.",greenpau,,
,,Sandeep Rajan,Individual - No Account,rajansandeep,,
,,Ville Vesilehto,ICEYE,thevilledev,,
,,Yong Tang,Individual - No Account,yongtang,,
,,Zhenyu Chen,Individual - No Account,houyuwushang,,
Graduated,cri-o,Ayato Tokubi,Red Hat LLC,bitoku,https://github.com/cri-o/.project/blob/main/maintainers.yaml,cncf-crio-maintainers@lists.cncf.io
,,Fabiano Fidêncio,NVIDIA Corporation,fidencio,,
,,Giuseppe Scrivano,Red Hat LLC,giuseppe,,
,,Mrunal Patel,Red Hat LLC,mrunalp,,
,,Nalin Dahyabhai,Red Hat LLC,nalind,,
,,Peter Hunt,Red Hat LLC,haircommander,,
,,Sascha Grunert,Red Hat LLC,saschagrunert,,
,,Sohan Anilkumar Kunkerkar,Red Hat LLC,sohankunkerkar,,
,,Urvashi Mohnani,Red Hat LLC,umohnani8,,
Graduated,crossplane,"""何贵民(箫竹) ""何贵民(箫竹)",Alibaba Cloud (Singapore) Private LTD,xiaozhu36,https://github.com/crossplane/.project/blob/main/maintainers.yaml,cncf-crossplane-maintainers@lists.cncf.io
,,Adam Wolfe Gordon,"Upbound, Inc.",adamwg,,
,,,,akesser,,
,,Alessandro Argentieri,Individual - No Account,alessandroargentieri,,
,,Alper Rifat Ulucinar,"Upbound, Inc.",ulucinar,,
,,,,anagarlau,,
,,,,AndresNico,,
,,Ariel Septon,Individual - No Account,arielsepton,,
,,,,atzedevries,,
,,Bassam Tabbara,"Upbound, Inc.",bassam,,
,,Bob Haddleton,Nokia Corporation,bobh66,,
,,,,BoxBoxJason,,
,,Brian Lindblom,Individual - No Account,lindblombr,,
,,Bryan Nobuhara,Individual - No Account,Mitsuwa,,
,,Carl Lunde,Individual - No Account,chlunde,,
,,Cem Mergenci,Individual - No Account,mergenci,,
,,Christopher Haar,"Upbound, Inc.",haarchri,,
,,Christopher Junk,Individual - No Account,christophrj,,
,,Chuan-Yen Chiang,Alpha-Sense,cychiang,,
,,,,dalton-hill-0,,
,,Daniel Mangum,Canonical Group Limited,hasheddan,,
,,,,danieldides,,
,,,,dariozachow,,
,,Dasha Komsa,Individual - No Account,d-honeybadger,,
,,Dennis Kniep,Individual - No Account,denniskniep,,
,,,,DMajrekar,,
,,,,dorroddorrod,,
,,,,erhancagirici,,
,,Erik Godding Boye,Zenior AS,erikgb,,
,,,,erikmiller-gusto,,
,,,,ezgidemirel,,
,,Fahed Dorgaa,Individual - No Account,fahedouch,,
,,Fatih Türken,Individual - No Account,turkenf,,
,,Gosha Gosha,Individual - No Account,ggkhrmv,,
,,Harsh harshthakur9030,Infracloud Technologies INC,RealHarshThakur,,
,,,,hellertang,,
,,Hendrik Folke Leppelsack,Individual - No Account,Henni,,
,,Henry Sachs,Deutsche Bahn AG,henrysachs,,
,,,,iainlane,,
,,Jan Willies,Accenture Global Solutions Limited,janwillies,,
,,,,jan-di,,
,,Jared Watts,"Upbound, Inc.",jbw976,,
,,Jason Tang,Individual - No Account,jastang,,
,,Javier Palomo,Cabify,jvrplmlmn,,
,,,,javier-gascon,,
,,,,jaymiracola,,
,,,,jcooklin,,
,,,,jdotw,,
,,Jean du Plessis,"Upbound, Inc.",jeanduplessis,,
,,Jeroen Op,Individual - No Account,Duologic,,
,,JM Fernández,Individual - No Account,fernandezcuesta,,
,,Jon Graca,Liberty Mutual Insurance Company,jograca,,
,,Jonasz Małecki,"Upbound, Inc.",jonasz-lasut,,
,,Jonathan Ogilvie,"Sumo Logic, Inc.",jcogilvie,,
,,Julian Philipp Wachter,Individual - No Account,Breee,,
,,Justin Barksdale,"Spectro Cloud, Inc.",3pings,,
,,Kael Baldwin,Individual - No Account,KaelBaldwin,,
,,,,kaessert,,
,,Kevin Kendzia,Individual - No Account,kkendzia,,
,,Kim-Norman Sahm,Individual - No Account,kisahm,,
,,Krishnan Anantheswaran,Elastic,gotwarlost,,
,,,,lsviben,,
,,Markus Schweig,"Epic Games, Inc",humoflife,,
,,Markus Siebert,Deutsche Bahn AG,markussiebert,,
,,Max Blatt,Accenture Global Solutions Limited,MisterMX,,
,,Maximilian Braun,SAP SE,maximilianbraun,,
,,Maximilian Techritz,SAP SE,maximiliantech,,
,,,,mbbush,,
,,Michael Fornaro,Individual - No Account,xunholy,,
,,Michael Goff,"Upbound, Inc.",thephred,,
,,Mirza Kopic,SAP SE,mirzakopic,,
,,Muvaffak Onuş,QA Wolf Inc,muvaf,,
,,Nic Cope,"Upbound, Inc.",negz,,
,,,,pascaruchan,,
,,Patrick McNerthney,"Tripwire, Inc.",iciclespider,,
,,Pengfei Xu,Individual - No Account,peefy,,
,,Philippe Scorsolini,"Upbound, Inc.",phisco,,
,,,,plumbis,,
,,Pravin Dahal,Individual - No Account,pravindahal,,
,,rae sharp,Individual - No Account,tr0njavolta,,
,,,,reedjosh,,
,,Riyad Ilyasov,Individual - No Account,ridik-il,,
,,Saad Malik,"Spectro Cloud, Inc.",saamalik,,
,,,,sanmoh-hombal,,
,,,,sdischer-sap,,
,,Sergen Yalcin,"Upbound, Inc.",sergenyalcin,,
,,,,shanye997,,
,,Sivaanand Murugesan,Individual - No Account,SivaanandM,,
,,Stefan Möhrle,corewire GmbH,smoehrle,,
,,Steve Cavallo,Individual - No Account,smcavallo,,
,,Steven Borrelli,"Upbound, Inc.",stevendborrelli,,
,,,,teeverr,,
,,Theodoros Chatzimichos,Elastic,tampakrap,,
,,,,tongyiming,,
,,Tyler Gillson,"Spectro Cloud, Inc.",TylerGillson,,
,,,,uzaxirr,,
,,Vishal Anarase,"Mirantis, Inc.",vishalanarase,,
,,Vishwanath Sastry,"Cisco Systems, Inc.",vishwanaths,,
,,,,xiahuai,,
,,Yannick Noël Schlosser,CompuGroup Medical,Avatos,,
,,Ying Mo,Individual - No Account,morningspace,,
,,Yordis Prieto,Individual - No Account,yordis,,
,,Yury Tsarev,"Upbound, Inc.",ytsarev,,
,,Zong Zhe,Individual - No Account,zong-zhe,,
Graduated,cubeFS,,,cessory,https://github.com/cubeFS/.project/blob/main/maintainers.yaml,cncf-cubefs-maintainers@lists.cncf.io
,,,,Cloudstriff,,
,,Haifeng Liu,"JD.com, Inc.",bladehliu,,
,,,,hooklee2000,,
,,Junyuan Zeng,LinkedIn Corporation,jzeng4,,
,,,,leonrayang,,
,,,,lizhendong666,,
,,Mofei Zhang,Individual - No Account,mervinkid,,
,,,,sejust,,
,,Shuoran Liu,Individual - No Account,shuoranliu,,
,,,,Victor1319,,
,,Wei Ding,Individual - No Account,wding109,,
,,Weilong Guo,Individual - No Account,awzhgw,,
,,,,xiaochunhe,,
Graduated,dapr,Albert Callarisa,Diagrid,acroca,https://github.com/dapr/.project/blob/main/maintainers.yaml,cncf-dapr-maintainers@lists.cncf.io
,,Alice Gibbons,Diagrid,alicejgibbons,,
,,Artur Ciocanu,Adobe Inc.,artur-ciocanu,,
,,Cassie Coyle,Individual - No Account,cicoyle,,
,,Cecil Phillip,Individual - No Account,cecilphillip,,
,,Dai Long,Individual - No Account,daixiang0,,
,,Deepanshu Agarwal,Individual - No Account,DeepanshuA,,
,,,,Dzvezdana,,
,,Elena Kolevska,Individual - No Account,elena-kolevska,,
,,,,halspang,,
,,,,hhunter-ms,,
,,Josh van Leeuwen,Diagrid,JoshVanL,,
,,Marc Duiker,Diagrid,marcduiker,,
,,Mark Fussell,Diagrid,msfussell,,
,,Mauricio Salatino,Individual - No Account,salaboy,,
,,Mike Nguyen,Individual - No Account,mikeee,,
,,Nicholas Greenfield,Microsoft Corporation,greenie-msft,,
,,Paul Yuknewicz,Individual - No Account,paulyuk,,
,,,,philliphoff,,
,,Rob Landers,Individual - No Account,withinboredom,,
,,Samantha Kendziora,Diagrid,sicoyle,,
,,Siri Varma Vegiraju,Individual - No Account,siri-varma,,
,,Whit Waldo,Innovian,WhitWaldo,,
,,Yaron Schneider,Diagrid,yaron2,,
Graduated,dragonflyoss,[[unknown]] [[unknown]],Individual - No Account,yyzai384,https://github.com/dragonflyoss/.project/blob/main/maintainers.yaml,cncf-dragonfly-maintainers@lists.cncf.io
,,Baptiste Girard-Carrabin,Individual - No Account,Fricounet,,
,,Changfu Zhang,Individual - No Account,Zephyrcf,,
,,Chenyu Zhang,Ant Group,chlins,,
,,,,CooooolFrog,,
,,dlut_xz dlut_xz,Individual - No Account,fcgxz2003,,
,,Han Jiang,Individual - No Account,CormickKneey,,
,,imeoer imeoer,HyperHQ Inc.,imeoer,,
,,lyu fengjun,The Apache Software Foundation,mingcheng,,
,,Tao Peng,Ant Group,bergwolf,,
,,Wenbo Qi,Individual - No Account,gaius-qi,,
,,Yang Kaiyong,Individual - No Account,BraveY,,
,,Yiyang Huang,"Douyin Vision Co., Ltd.",hyy0322,,
,,yuan xiongxiong,Individual - No Account,yxxhero,,
Graduated,falcosecurity,Aldo Lacuku,Kong Inc.,alacuku,https://github.com/falcosecurity/.project/blob/main/maintainers.yaml,cncf-falco-maintainers@lists.cncf.io
,,Alessandro Cannarella,Individual - No Account,c2ndev,,
,,Angelo Puglisi,Individual - No Account 20,deepskyblue86,,
,,Carlos Tadeu Panato Junior,"Chainguard, Inc.",cpanato,,
,,Federico Di Pierro,Individual - No Account,fededp,,
,,Gerald Combs,Individual - No Account,geraldcombs,,
,,Grzegorz Nosek,Individual - No Account,gnosek,,
,,Iacopo Rozzo,Individual - No Account,irozzo-1A,,
,,Jason Dellaluce,"Sysdig, Inc.",jasondellaluce,,
,,Leonardo Di Giovanna,Individual - No Account,ekoops,,
,,Leonardo Grasso,"Sysdig, Inc.",leogr,,
,,Lorenzo Susini,Università di Pisa,loresuso,,
,,Luca Guerra,Individual - No Account,lucaguerra,,
,,Mark Stemm,"Sysdig, Inc.",mstemm,,
,,Mauro Moltrasio,Individual - No Account,molter73,,
,,Michele Zuccala,"Sysdig, Inc.",zuc,,
,,Roberto Scolaro,Sysdig,therealbobo,,
,,Samuel Gaist,Idiap Research Institute,sgaist,,
,,Thomas Labarussias,Sysdig,issif,,
Graduated,fluent,Daijiro Fukuda,Individual - No Account,daipom,https://github.com/fluent/.project/blob/main/maintainers.yaml,cncf-fluentd-maintainers@lists.cncf.io
,,Eduardo Silva,"Chronosphere, Inc.",edsiper,,
,,,,fujimotos,,
,,Hiroshi Hatake,Individual - No Account,cosmo0920,,
,,Kentaro Hayashi,Individual - No Account,kenhys,,
,,"Masahiro ""Masa"" Nakagawa",Treasure Data Inc.,repeatedly,,
,,Naotoshi Seo,ZOZO Inc,sonots,,
,,okkez okkez,Individual - No Account,okkez,,
,,Satoshi Tagomori,Sakura Internet Inc.,tagomoris,,
,,Takuro Ashie,Individual - No Account,ashie,,
,,Toru Takahashi,Individual - No Account,toru-takahashi,,
Graduated,fluxcd,Aurel Canciu,Individual - No Account,relu,https://github.com/fluxcd/.project/blob/main/maintainers.yaml,cncf-flux-maintainers@lists.cncf.io
,,Dipti Pai,Individual - No Account,dipti-pai,,
,,Hidde Beydals,Weaveworks Inc.,hiddeco,,
,,Kingdon Barrett,Navteca,kingdonb,,
,,Leigh Capili,Control-Plane.io,stealthybox,,
,,Matheus Pimenta,Individual - No Account,matheuscscp,,
,,Max Jonas Werner,Individual - No Account,makkes,,
,,Michael Bridgen,Weaveworks Inc.,squaremo,,
,,Paulo Gomes,SUSE LLC,pjbgf,,
,,Sanskar Jaiswal,Kong Inc.,aryan9600,,
,,Scott Rigby,Individual - No Account,scottrigby,,
,,Soulé Ba,ControlPlane Ltd.,souleb,,
,,Stefan Prodan,ControlPlane Ltd.,stefanprodan,,
,,Tamao Nakahara,Weaveworks Inc.,mewzherder,,
Graduated,goharbor,Daniel Jiang,VMware LLC,reasonerjt,https://github.com/goharbor/.project/blob/main/maintainers.yaml,cncf-harbor-maintainers@lists.cncf.io
,,Haining Zhang,VMware LLC,hainingzhang,,
,,Jia Zou,Broadcom Software,steven-zou,,
,,Jérémie MONSINJON,Individual - No Account,jMonsinjon,,
,,Kung Frank,Individual - No Account,kofj,,
,,Maosheng Ren,VMware LLC,renmaosheng,,
,,,,mmpei,,
,,Orlin Vasilev,SAP SE,OrlinVasilev,,
,,Pierre Péronnet,OVH SAS,holyhope,,
,,Prasanth Baskar,8gears AG,bupd,,
,,Vadim Bauer,8gears,Vad1mo,,
,,Wang Yan,Broadcom Inc,wy65701436,,
,,Wenkai Yin,Individual - No Account,ywk253100,,
Graduated,helm,Karen Chu,Apple,karenhchu,https://github.com/helm/.project/blob/main/maintainers.yaml,cncf-helm-maintainers@lists.cncf.io
,,Matt Butcher,Fermyon Technologies,technosophos,,
,,Matt Farina,SUSE LLC,mattfarina,,
,,Reinhard Nägele,Individual - No Account,unguiculus,,
,,Scott Rigby,Individual - No Account,scottrigby,,
Graduated,in-toto,Aditya Sirish A Yelgundhalli,Individual - No Account 20,adityasaky,https://github.com/in-toto/.project/blob/main/maintainers.yaml,cncf-intoto-maintainers@lists.cncf.io
,,Jack Kelly,Control-Plane.io,06kellyjac,,
,,John Kjell,Control-Plane.io,jkjell,,
,,Justin Cappos,New York University,JustinCappos,,
,,Santiago Torres-Arias,Purdue University,SantiagoTorres,,
Graduated,jaegertracing,Albert Teoh,Individual - No Account,albertteoh,https://github.com/jaegertracing/.project/blob/main/maintainers.yaml,cncf-jaeger-maintainers@lists.cncf.io
,,Jonah Kowall,"Spacelift, Inc.",jkowall,,
,,Joseph Elliott,"Raintank, Inc. – Grafana Labs",joe-elliott,,
,,,,mahadzaryab1,,
,,Pavol Loffay,Red Hat LLC,pavolloffay,,
,,Yuri Shkuro,Airbnb,yurishkuro,,
Graduated,karmada-io,Joe Nathan Abellard,Bloomberg,jabellard,https://github.com/karmada-io/.project/blob/main/maintainers.yaml,cncf-karmada-maintainers@lists.cncf.io
,,Junhua He,"CECloud Computing Technology Co., Ltd",whitewindmills,,
,,Kevin Wang,"Huawei Technologies Co., Ltd",kevin-wangzefeng,,
,,Michael (Michas) Szacillo,Bloomberg L.P.,mszacillo,,
,,qiangqiang chang,Individual - No Account,CharlesQQ,,
,,Ren Hongcai,"Huawei Technologies Co., Ltd",RainbowMango,,
,,Shiyi Xie,Individual - No Account,GitHubxsy,,
,,Wei-Cheng Lai,Individual - No Account,seanlaii,,
,,Wenjiang Ding,Individual - No Account,warjiang,,
,,xiao zhang,Individual - No Account,wawa0210,,
,,Zhen Chang,Individual - No Account,XiShanYongYe-Chang,,
,,zhuang zhang,"Huawei Technologies Co., Ltd",zhzhuang-zju,,
,,Zongqing Li,Trip.com,zach593,,
Graduated,kedacore,Jan Wozniak,Kedify,wozniakjan,https://github.com/kedacore/.project/blob/main/maintainers.yaml,cncf-keda-maintainers@lists.cncf.io
,,Jeff Hollan,Microsoft Corporation,jeffhollan,,
,,Jorge Turrado Ferrero,SCRM - Lidl International Hub,jorturfer,,
,,Mikhail Fedosin,Individual - No Account,Fedosin,,
,,Rick Brouwer,Dienst Uitvoering Onderwijs,rickbrouwer,,
,,Vincent Link,Red Hat,linkvt,,
,,Zbynek Roubalik,Individual - No Account,zroubalik,,
Graduated,kubeedge,benjamin huo,Individual - No Account,benjaminhuo,https://github.com/kubeedge/.project/blob/main/maintainers.yaml,cncf-kubeedge-maintainers@lists.cncf.io
,,chuanhao jin,Bluedot,DoisLONG,,
,,Dave Chen,Arm Limited,chendave,,
,,Fei(fisher) Xu,Individual - No Account,fisherxu,,
,,,,GsssC,,
,,Hongbing Zhang,"DaoCloud Network Technology Co., Ltd.",HongbingZhang,,
,,Huan Wei,"Hangzhou Harmony Cloud Technology Co., Ltd.",huanwei,,
,,jiawei liu,,JiaweiGithub,,
,,jie zhang,"Hangzhou NetEase Shuzhifan Technology Co., Ltd",kadisi,,
,,Kevin Wang,"Huawei Technologies Co., Ltd",kevin-wangzefeng,,
,,Sanil Kumar,Caze Labs Private Limited,skdwriting,,
,,Siddharth Bhadri,Individual - No Account,sids-b,,
,,Tina Tsou,"Super Micro Computer, Inc.",tinatsou,,
,,wei hu,Individual - No Account,willardhu,,
,,Yin Ding,Google LLC,dingyin,,
,,Yue Bao,"Huawei Technologies Co., Ltd",Shelley-BaoYue,,
,,,,zc2638,,
,,Zhijia Yang,Individual - No Account,luomengY,,
,,琦 张,"Futurewei Technologies, Inc.",qizha,,
Graduated,kubeflow,Abhijeet Dhumal,Red Hat,abhijeet-dhumal,https://github.com/kubeflow/.project/blob/main/maintainers.yaml,cncf-kubeflow-maintainers@lists.cncf.io
,,,,adysenrothman,,
,,Alessio Pragliola,Individual - No Account,Al-Pragliola,,
,,Amber Graner,Individual - No Account,akgraner,,
,,Andrey Velichkevich,Apple Inc.,andreyvelich,,
,,Andy Stoneberg,Individual - No Account,andyatmiami,,
,,Antonin Stefanutti,Red Hat LLC,astefanutti,,
,,Anya Kramar,Red Hat LLC,kramaranya,,
,,Ce Gao,,gaocegege,,
,,Chaoran Yu,Akka,yuchaoran2011,,
,,,,chasecadet,,
,,Chen Sun,Google,chensun,,
,,,,ChenYi015,,
,,Dominik Kawka,Individual - No Account,dominikkawka,,
,,,,droctothorpe,,
,,Eder Ignatowicz,Red Hat,ederign,,
,,Francisco Arceo,Red Hat LLC,franciscojavierarceo,,
,,Helber Belmiro,Individual - No Account,hbelmiro,,
,,Humair Khan,Individual - No Account,humairak,,
,,,,jacobsalway,,
,,James Liu,Individual - No Account,zijianjoy,,
,,Jeff Spahr,Individual - No Account,jeffspahr,,
,,Jiaxin Shan,"Douyin Vision Co., Ltd.",Jeffwan,,
,,Johnu George,"Nutanix, Inc.",johnugeorge,,
,,Jon Burdo,Red Hat LLC,jonburdo,,
,,Julius von Kohout,Individual - No Account,juliusvonkohout,,
,,Kimonas Sotirchos,Individual - No Account,kimwnasptd,,
,,Manabu McCloskey,Individual - No Account,nabuskey,,
,,Marcin Wielgus,Google LLC,mwielgus,,
,,Mathew Wicks,Individual - No Account,thesuperzapper,,
,,Matt Prahl,Individual - No Account,mprahl,,
,,Matteo Mortari,Individual - No Account,tarilabs,,
,,Michael Zazula,Individual - No Account,zazulam,,
,,Nelesh Singla,Individual - No Account,nsingla,,
,,Paul Boyd,Red Hat,pboyd,,
,,,,rareddy,,
,,Rong Ou,NVIDIA Corporation,rongou,,
,,Shao Wang,Individual - No Account,Electronic-Waste,,
,,Stefano Fioravanzo,Individual - No Account,StefanoFioravanzo,,
,,Tarek Abouzeid,Telia,tarekabouzeid,,
,,Valentina Rodriguez Sosa,Red Hat LLC,varodrig,,
,,Vara Bonthu,Individual - No Account,vara-bonthu,,
,,William Antônio,Individual - No Account,jesuino,,
,,Yash Pal,Individual - No Account,yashpal2104,,
,,Yuan (Terry) Tang,Red Hat LLC,terrytangyuan,,
,,Yuki Iwai,"CyberAgent, Inc.",tenzen-y,,
